Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Poss_x,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Age,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG_x,Expected_npxG_x,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_y,Expected_npxG_y,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,League
1,Liverpool,27,19,6,2,64,25,39,63,2.33,59.9,33.0,26.9,0.99,60.4,19981,1607,5368,9545,5248,910,19974,541,236,43.6,243,44.9,12315,63653,33351,637,500,198,423,281,13879,1395,27.0,60,48,108,56,4,7,53,5,59.9,54.1,44.2,98.3,637,1409,60,516,176,34.1,19.11,6.52,0.11,0.32,17.6,12,4,7,59.9,54.1,0.11,0.1,1.9,13988,16847,83.0,239428,82559,6538,7253,90.1,5971,6782,88.0,1160,2017,57.5,48,44.2,37.3,3.8,403,1108,322,48,1409,912,33.78,676,82,46,67,31,10,98,3.63,75,6,7,7,3,0,466,293,194,191,81,238,549,43.4,311,348,82,266,205,671,449,12,EPL
2,Manchester City,26,18,5,3,59,26,33,59,2.27,51.7,24.6,27.1,1.04,65.4,21281,1479,4847,9712,6862,950,21276,501,265,52.9,183,36.5,13783,72526,40270,791,601,269,312,226,16380,1341,27.2,58,43,101,54,4,5,44,2,51.7,48.0,39.3,87.3,791,1357,58,462,173,37.4,17.77,6.65,0.12,0.31,17.2,18,4,5,51.7,48.0,0.11,6.3,6.0,16574,18747,88.4,268592,76351,8458,9003,93.9,6492,7091,91.6,1173,1774,66.1,43,39.3,41.2,3.7,366,1292,323,51,1357,852,32.77,666,50,41,48,38,9,102,3.92,74,3,9,10,6,0,339,197,129,149,61,162,309,52.4,147,233,57,176,155,494,348,11,EPL
3,Arsenal,26,18,4,4,62,23,39,58,2.23,53.1,18.2,34.8,1.34,60.4,18636,1294,4687,8090,5982,975,18628,467,189,40.5,213,45.6,11810,57482,29409,580,385,213,362,264,13430,1491,25.5,60,41,101,52,8,8,41,2,53.1,47.0,36.8,83.8,580,1505,60,431,139,32.3,16.58,5.35,0.12,0.37,16.0,3,8,8,53.1,47.0,0.11,6.9,5.0,13563,15972,84.9,223615,71667,6657,7299,91.2,5783,6467,89.4,862,1556,55.4,41,36.8,38.5,4.2,335,1127,358,50,1505,792,30.46,612,62,41,43,24,10,105,4.04,63,15,7,9,11,0,422,239,175,170,77,198,372,53.2,174,298,75,223,197,619,332,13,EPL
4,Aston Villa,27,17,4,6,59,37,22,55,2.04,50.1,38.4,11.8,0.44,55.6,16931,1869,5634,7346,4110,778,16927,548,249,45.4,224,40.9,10689,58620,31126,585,372,163,345,304,11676,1112,27.6,56,41,97,52,4,4,73,1,50.1,47.0,37.1,84.1,585,1122,56,394,146,37.1,14.59,5.41,0.13,0.36,16.2,13,4,4,50.1,47.0,0.12,5.9,5.0,11914,14242,83.7,207645,70093,5241,5814,90.1,5454,6114,89.2,987,1713,57.6,41,37.1,33.9,3.9,308,883,276,54,1122,706,26.15,520,58,37,58,25,8,100,3.7,70,7,5,9,7,2,387,230,183,156,48,184,384,47.9,200,269,71,198,178,565,435,6,EPL
5,Tottenham,26,15,5,6,55,39,16,50,1.92,45.4,43.0,2.4,0.09,60.5,19433,1993,6019,8213,5384,914,19432,574,259,45.1,258,44.9,12237,62973,31829,654,439,241,396,265,13782,1434,25.8,52,43,95,51,1,1,62,4,45.4,44.6,38.3,82.9,654,1441,52,408,149,36.5,15.69,5.73,0.13,0.34,16.5,7,1,1,45.4,44.6,0.11,6.6,6.4,13895,16323,85.1,220597,76081,7106,7767,91.5,5612,6268,89.5,775,1361,56.9,43,38.3,36.3,4.7,321,1096,308,37,1441,730,28.08,548,48,43,49,23,19,90,3.46,68,7,6,4,2,3,524,320,256,176,92,263,490,53.7,227,307,92,215,238,762,532,16,EPL
6,Manchester Utd,26,14,2,10,36,36,0,44,1.69,40.3,42.6,-2.3,-0.09,51.3,16495,1887,5416,6768,4453,711,16492,495,218,44.0,215,43.4,9656,52070,27778,530,361,192,320,234,10750,1065,27.0,36,25,61,34,2,3,65,1,40.3,37.9,29.6,67.5,530,1075,36,381,121,31.8,14.65,4.65,0.09,0.28,17.1,13,2,3,40.3,37.9,0.1,-4.3,-3.9,10885,13522,80.5,182625,62394,5267,5957,88.4,4230,4941,85.6,989,1779,55.6,25,29.6,25.2,-4.6,299,869,238,36,1075,686,26.38,511,54,42,38,25,16,63,2.42,42,4,6,5,2,4,454,273,212,166,76,237,505,46.9,268,346,124,222,203,657,594,7,EPL
7,West Ham,27,12,6,9,43,47,-4,42,1.56,36.7,49.6,-12.9,-0.48,41.4,15004,1857,5245,6602,3311,529,15000,490,238,48.6,204,41.6,8120,44023,21062,393,278,119,358,264,8974,860,28.8,42,31,73,39,3,4,65,3,36.7,33.6,23.9,57.5,393,872,42,309,102,33.0,11.44,3.78,0.13,0.38,16.1,10,3,4,36.7,33.6,0.11,5.3,5.4,9054,11797,76.7,157371,61005,4348,4918,88.4,3506,4178,83.9,921,1927,47.8,31,23.9,22.1,7.1,217,703,155,45,872,544,20.15,365,65,37,32,30,15,75,2.78,51,7,5,7,3,2,486,309,248,181,57,222,413,53.8,191,350,129,221,266,752,679,6,EPL
8,Newcastle Utd,27,12,4,11,57,45,12,40,1.48,50.4,47.6,2.8,0.1,52.8,17274,1786,5855,7467,4116,723,17269,493,238,48.3,189,38.3,9870,52362,25744,489,362,154,372,278,11658,1070,28.0,56,36,92,51,5,5,58,0,50.4,46.4,32.9,79.3,489,1077,56,362,132,36.5,13.41,4.89,0.14,0.39,15.7,6,5,5,50.4,46.4,0.13,5.6,4.6,11745,14350,81.8,201080,69046,5536,6179,89.6,4923,5635,87.4,1025,1837,55.8,36,32.9,29.7,3.1,274,782,267,55,1077,643,23.81,468,35,51,46,32,11,94,3.48,56,5,12,9,9,3,463,274,223,183,57,205,486,42.2,281,347,110,237,188,651,487,13,EPL
9,Brighton,27,10,9,8,49,44,5,39,1.44,44.9,37.9,7.0,0.26,62.3,21493,2223,6663,9944,5025,819,21488,509,210,41.3,239,47.0,14118,68784,36236,618,401,206,403,261,16083,1364,26.7,46,35,81,41,5,5,66,3,44.9,41.2,32.8,74.1,618,1373,46,404,157,38.9,14.96,5.81,0.1,0.26,16.5,10,5,5,44.9,41.2,0.1,1.1,-0.2,16256,18606,87.4,256224,84111,8480,9162,92.6,6267,6916,90.6,996,1612,61.8,35,32.8,32.7,2.2,316,1137,292,59,1373,741,27.44,548,63,40,52,30,8,85,3.15,57,5,9,7,6,1,438,259,187,181,70,199,456,43.6,257,304,99,205,208,646,414,17,EPL
10,Wolves,27,11,5,11,40,43,-3,38,1.41,36.7,45.2,-8.6,-0.32,47.9,16471,1932,5923,7136,3617,566,16468,619,312,50.4,242,39.1,9348,52174,26764,510,385,127,388,262,10559,857,27.5,38,31,69,35,3,3,68,3,36.7,34.3,25.8,60.1,510,873,38,319,113,35.4,11.81,4.19,0.11,0.31,16.4,9,3,3,36.7,34.3,0.11,1.3,0.7,10656,13354,79.8,176895,59768,5323,5971,89.1,4109,4799,85.6,894,1835,48.7,31,25.8,21.5,5.2,240,674,185,48,873,560,20.74,391,50,44,35,31,9,67,2.48,43,6,7,5,4,2,512,305,296,164,52,221,422,52.4,201,359,119,240,222,734,605,12,EPL
